Text ID,Comment,Max char limit,Asian char limit,English,Japanese,Korean,TChinese,French,German,Spanish Spain,Spanish LatAm,Portuguese,Italian,Turkish,Arabic,Thai,Swedish,Polish,French limit,German limit,sp-ES limit,sp-M9 limit,pt-BR limit,it limit,tur limit,ara limit,thai limit,swe limit,pol limit,jp limit,kor limit,cht limit,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pause header,header text for pause menu,10,6,Paused,ポーズ,일시 정지,暫停,En pause,Pausiert,En pausa,Pausa,Pausado,In pausa,Duraklatıldı,توقف مؤقت,หยุด​ชั่วคราว,Pausat,Pauza,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
pause resume,a button for resuming game,10,6,Resume,再開,계속,返回遊戲,Reprendre,Fortfahren,Reanudar,Continuar,Retomar,Riprendi,Devam et,مواصلة,เล่น​ต่อ,Fortsätt,Wznów grę,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
pause settings,a button for opening settings menu,10,6,Settings,オプション,설정,設定,Paramètres,Einstellungen,Ajustes,Ajustes,Config.,Opzioni,Ayarlar,الإعدادات,การ​ตั้ง​ค่า,Inställningar,Ustawienia,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
pause return to lobby,a button for returning to lobby room from main game,10,6,Return to Lobby,ロビーに戻る,로비로 돌아가기,返回大廳,Retour salon,Zurück zur Lobby,Volver al lobby,Ir al lobby,Lobby,Alla lobby,Lobiye Dön,إلى الردهة,กลับ​ไป​ที่​ล็อบบี้,Återvänd till lobbyn,Powrót do menu,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
pause end run,a button to end current run by dying and going into the result screen (can be 'end run' instead of 'give up'),10,6,Give up,あきらめる,포기,結束本回合,Abandonner,Aufgeben,Abandonar,Rendirse,Desistir,Arrenditi,Pes et,الاستسلام,ยอม​แพ้,Ge upp,Poddaj się,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
pause quit game,a button for quitting and closing the game app,10,6,Quit game,ゲーム終了,게임 종료,離開遊戲,Quitter,Beenden,Salir del juego,Salir,Sair,Abbandona,Çıkış,إغلاق اللعبة,ออก​จาก​เกม,Avsluta spelet,Wyjdź z gry,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
pause trophy,a button for opening medals menu (previously called trophy),10,6,Medals,メダル,메달,獎牌,Médailles,Medaillen,Medallas,Medallas,Medalhas,Medaglie,Madalyalar,الميداليات,เหรียญ,Medaljer,Medale,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
settings header,header text for settings menu,12,8,Settings,オプション,설정,設定,Paramètres,Einstellungen,Ajustes,Ajustes,Config.,Opzioni,Ayarlar,الإعدادات,การ​ตั้ง​ค่า,Inställningar,Ustawienia,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings language,settings element for changing language,12,8,Language,言語,언어,語言,Langue,Sprache,Idioma,Idioma,Idioma,Lingua,Dil,اللغة,ภาษา,Språk,Język,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings music,settings element for toggling music,12,8,Music,音楽,음악,音樂,Musique,Musik,Música,Música,Música,Musica,Müzik,الموسيقى,ดนตรี,Musik,Muzyka,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings sound,settings element for toggling sound,12,8,Sound,効果音,사운드,音效,Son,Soundeffekte,Sonido,Sonido,Som,Audio,Ses,الصوت,เสียง,Ljud,Dźwięk,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings timescale,accessibility settings slider element for slowing down game speed,12,8,Game Speed,ゲーム速度,게임 속도,遊戲速度,Vitesse du jeu,Spielgeschwindigkeit,Velocidad del juego,Vel. juego,Velocidade do jogo,Velocità di gioco,Oyun Hızı,سرعة اللعبة,ความเร็ว​ของ​เกม,Spelhastighet,Szybkość gry,,,,,,,,,,,,,,,
settings haptics,settings element for toggling haptics on mobile,12,8,Haptics,振動,햅틱,震動回饋,Haptique,Haptik,Respuesta háptica,Háptica,Resp. tátil,Tattilità,Haptik,الاهتزاز,ระบบ​สัมผัส,Haptik,Haptyka,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings invert swipe,settings element for toggling inverted swipe direction controls,16,12,Inverted Swipe,スワイプ方向反転,반전된 스와이프,反轉滑動方向,Balayage inversé,Umgekehrtes Wischen,Deslizamiento invertido,Desliz. invert.,Deslizamento invertido,Scorrimento invertito,Ters Kaydırma,التمرير المعكوس,สลับ​ทิศ​การ​ปัด,Omvänd svepriktning,Odwrócone przesuwanie,,,,,,,,,,,,,,,
settings credits,starts credits (staff roll),,,Credits,クレジット,크레딧,製作團隊,Crédits,Credits,Créditos,Créditos,Créditos,Riconoscimenti,Jenerik,أسماء الطاقم,เครดิต,Medverkande,Napisy końcowe,,,,,,,,,,,,,,,
